;x;y;z
Total (-);0.088490415;3.74297398;-0.0591445638
Total (N);88.490415;3742.9739799999998;-59.1445638
Pressure (-);0.101580441;3.69206395;-0.0588683277
Pressure (N);101.580441;3692.06395;-58.8683277
Viscous (-);-0.0130900258;0.0509100262;-0.00027623609
Viscous (N);-13.0900258;50.9100262;-0.27623609
Drag (N);88.490415
Lift (N);-59.1445638
