;x;y;z
Total (-);0.0797234596;3.74069306;-0.0653789579
Total (N);79.7234596;3740.69306;-65.3789579
Pressure (-);0.078236171;3.72450583;-0.0680925876
Pressure (N);78.236171;3724.50583;-68.0925876
Viscous (-);0.0014872886;0.0161872277;0.00271362971
Viscous (N);1.4872886;16.1872277;2.71362971
Drag (N);79.7234596
Lift (N);-65.3789579
