;x;y;z
Total (-);0.0934284526;3.70506435;-0.0656322613
Total (N);93.4284526;3705.0643499999996;-65.6322613
Pressure (-);0.0706180172;3.72228026;-0.0776393591
Pressure (N);70.6180172;3722.28026;-77.6393591
Viscous (-);0.0228104354;-0.0172159004;0.0120070978
Viscous (N);22.8104354;-17.215900400000002;12.0070978
Drag (N);93.4284526
Lift (N);-65.6322613
