;x;y;z
Total (-);0.0810431777;3.74797468;-0.0642705444
Total (N);81.0431777;3747.97468;-64.2705444
Pressure (-);0.0820041763;3.72423121;-0.0676278834
Pressure (N);82.0041763;3724.23121;-67.6278834
Viscous (-);-0.000960998634;0.0237434762;0.00335733897
Viscous (N);-0.960998634;23.7434762;3.3573389700000003
Drag (N);81.0431777
Lift (N);-64.2705444
