;x;y;z
Total (-);0.0974492448;3.74546114;-0.0574444707
Total (N);97.4492448;3745.4611400000003;-57.4444707
Pressure (-);0.101129723;3.69818514;-0.0592979134
Pressure (N);101.129723;3698.18514;-59.2979134
Viscous (-);-0.00368047803;0.0472759938;0.00185344265
Viscous (N);-3.6804780299999997;47.2759938;1.85344265
Drag (N);97.4492448
Lift (N);-57.4444707
