;x;y;z
Total (-);0.0848425176;3.7373026;-0.0655501956
Total (N);84.8425176;3737.3026;-65.5501956
Pressure (-);0.0734058146;3.73800488;-0.0734072047
Pressure (N);73.4058146;3738.00488;-73.40720470000001
Viscous (-);0.0114367029;-0.000702276384;0.00785700914
Viscous (N);11.4367029;-0.702276384;7.85700914
Drag (N);84.8425176
Lift (N);-65.5501956
