;x;y;z
Total (-);0.0867933767;3.74548527;-0.0620974059
Total (N);86.7933767;3745.48527;-62.0974059
Pressure (-);0.0831106009;3.72405041;-0.0680796831
Pressure (N);83.1106009;3724.05041;-68.0796831
Viscous (-);0.00368277571;0.0214348578;0.00598227715
Viscous (N);3.68277571;21.4348578;5.98227715
Drag (N);86.7933767
Lift (N);-62.0974059
