;x;y;z
Total (-);0.0928013946;3.73868344;-0.0600193951
Total (N);92.80139460000001;3738.68344;-60.0193951
Pressure (-);0.0884340393;3.71089935;-0.0650120637
Pressure (N);88.43403930000001;3710.89935;-65.0120637
Viscous (-);0.00436735539;0.02778409;0.00499266866
Viscous (N);4.36735539;27.784090000000003;4.9926686600000005
Drag (N);92.80139460000001
Lift (N);-60.0193951
